BaseStrategy,BootstrapType,CAGR_p5,CAGR_med,CAGR_p95,Sharpe_p5,Sharpe_med,Sharpe_p95,MaxDD_med,TW_p5,TW_med,TW_p95,ProbBeatBenchmark
CVaR,block,0.003743178838169914,0.050578558466733314,0.09846326444008983,0.03492341383189169,0.46253344772536653,0.9174373413655741,-0.2354928424181148,1.0543239065373784,2.01094791408142,3.77982297365601,0.049
CVaR,iid,0.001019616269704527,0.0499555610341762,0.10111160335629096,0.008855863964992076,0.4546403290920247,0.9500927146938748,-0.25246219446924534,1.0145339487290645,1.9941293107744835,3.9109174022748263,0.058
EQ,block,0.016947682029647703,0.061527816712932615,0.10831506416029704,0.15408225255468944,0.5615719651418656,1.0052678099851695,-0.21837566059144564,1.2686419472553214,2.328924646987687,4.289184890879947,0.0925
EQ,iid,0.010540891247703932,0.06260291712634991,0.11343069442326455,0.09309183534420049,0.5660771480868814,1.0553567308946368,-0.23908658543858136,1.1600516516333548,2.362544542595857,4.578165770997961,0.128
HYBRID,block,0.005766854217466999,0.0506287627054689,0.09618389057010147,0.05071102286870467,0.4637129116013591,0.9046490298660237,-0.23297860538746706,1.084823061180094,2.0123089626132975,3.6702744190498064,0.0405
HYBRID,iid,0.003172743548866598,0.051997616194174534,0.1026390564811512,0.029646666931410874,0.47676471031337575,0.9593514740473148,-0.2533845551936916,1.0458726897375177,2.049750438831204,3.9884396405405274,0.0645
INVVOL,block,0.02293246529196329,0.06580186274856614,0.11362985288614771,0.21009344180218245,0.6044693788528247,1.0676316459930462,-0.21571833126139495,1.3785436605210564,2.465265983622297,4.5897738566196145,0.1215
INVVOL,iid,0.01754402238362409,0.0668665858051174,0.11827686446503123,0.16022233949958994,0.6111357750213338,1.0963763064555307,-0.23357811343951568,1.279215828843269,2.500365975267121,4.868520840159034,0.1475
MV,block,0.005368809899696892,0.05027807199472356,0.09686151915471512,0.0485349040439085,0.45776640660493484,0.9203362078409519,-0.23178374849022926,1.078760096707503,2.0028195097964945,3.702531971452167,0.048
MV,iid,0.00029877720547613065,0.048684063660706545,0.0982743647697959,0.0027789930885096688,0.4438105897506409,0.9068333064455725,-0.25596241920877993,1.0042386316981187,1.9602086655449578,3.7706299307816304,0.0485
