Scenario,Portfolio,CAGR,AnnVol,Sharpe,MaxDD,AvgTurnover
opt_8bps,EQ,0.06931643370693386,0.1097227399801935,0.6317417311985323,-0.20401575439732889,0.08590246636771301
opt_8bps,INVVOL,0.07707124348747807,0.10975718049399306,0.7021977344953402,-0.20181401813896738,0.0960717343966726
opt_8bps,MV,0.059150624052987544,0.10959068738044186,0.5397413363021197,-0.20632436155438616,0.09798228741002299
opt_8bps,CVAR,0.059962410072065264,0.10980467570644868,0.54608248406806,-0.22959295064750151,0.10091676667801347
opt_8bps,HYBRID,0.05984837065289317,0.10969032321020097,0.5456121278647795,-0.2043572338220664,0.09732668671837034
base_12bps,EQ,0.060676271490929246,0.10972509209283747,0.5529844663023072,-0.21880766603245838,0.08590246636771301
base_12bps,INVVOL,0.06684376328436836,0.10974909407623498,0.6090598181879907,-0.21598216277740545,0.0960717343966726
base_12bps,MV,0.049541248373947244,0.10960442358516949,0.4520004462725959,-0.2206411843187821,0.09798228741002299
base_12bps,CVAR,0.0497940263468466,0.10980471941227082,0.4534780163673188,-0.24902787534827953,0.10091676667801347
base_12bps,HYBRID,0.05023345525858547,0.10970513861423146,0.4578951897160171,-0.22460593855900868,0.09732668671837034
stress_25bps,EQ,0.033025463947520706,0.10970387612633205,0.3010419058437777,-0.28135482935795986,0.08590246636771301
stress_25bps,INVVOL,0.03421909135333623,0.10969379520607851,0.3119510204661059,-0.28351139659206226,0.0960717343966726
stress_25bps,MV,0.01887619463731327,0.10961431364220574,0.17220556339865825,-0.2969692356682223,0.09798228741002299
stress_25bps,CVAR,0.017406046953667653,0.10977950712847297,0.15855461013591246,-0.3199194703801621,0.10091676667801347
stress_25bps,HYBRID,0.01951052585278834,0.10969399513466863,0.1778632078158494,-0.3004645951587753,0.09732668671837034
